"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1300007161.hg.1","TC1300007161.hg.1","CDADC1","cytidine and dCMP deaminase domain containing 1",1.76647542086078,5.96465329569805,17.4234127550213,1.91458455156368e-18,2.5102756250402e-15,31.9297421785339
"TC0600007012.hg.1","TC0600007012.hg.1","CD83","CD83 molecule",2.68241759409861,6.07537366715282,17.2628958949591,2.53781025567737e-18,3.11944464365043e-15,31.6571597241088
"TC0600011386.hg.1","TC0600011386.hg.1","IER3","immediate early response 3",2.54491949552923,8.40414914307685,16.7893353253163,5.90076526039595e-18,6.82649119860042e-15,30.8395412719644
"TC0100017110.hg.1","TC0100017110.hg.1","FCMR","Fc mu receptor",-3.18967906276782,8.8805302998947,-16.4854720641285,1.02420585541909e-17,1.11905869769596e-14,30.3040905727401
"TC2100007599.hg.1","TC2100007599.hg.1","SAMSN1","SAM domain, SH3 domain and nuclear localization signals 1",3.69173157550266,7.67322711423618,16.4501778064127,1.09251660252459e-17,1.13086968536058e-14,30.2413376681156
"TC0200007132.hg.1","TC0200007132.hg.1","YPEL5","yippee like 5",2.20135282889758,8.67389539429278,16.2142002785107,1.68705743649379e-17,1.65896793017617e-14,29.8187376237459
"TC1700010630.hg.1","TC1700010630.hg.1","CCR7","C-C motif chemokine receptor 7",-2.90179842700802,8.71956989403838,-16.0895539272896,2.12652726361858e-17,1.99154341398031e-14,29.5933636193819
"TC1500010184.hg.1","TC1500010184.hg.1","BCL2A1","BCL2 related protein A1",4.15095375363678,8.48299817513563,15.8572949879867,3.28576357560242e-17,2.93732328369876e-14,29.1693891393041
"TC0700013383.hg.1","TC0700013383.hg.1","RABGEF1","RAB guanine nucleotide exchange factor 1",2.32694000427238,7.39235147460418,15.7367764228601,4.12603374110579e-17,3.4505904654435e-14,28.9473010019902
"TC0900010769.hg.1","TC0900010769.hg.1","NFIL3","nuclear factor, interleukin 3 regulated",2.83365837262303,8.17406982377773,15.7260456464045,4.21081868971597e-17,3.4505904654435e-14,28.9274568227919
"TC0300010770.hg.1","TC0300010770.hg.1","CSRNP1","cysteine and serine rich nuclear protein 1",2.28828048140336,6.33929163815714,15.6829824628803,4.56944544890482e-17,3.59469134574444e-14,28.8477057448796
"TC0500012842.hg.1","TC0500012842.hg.1","DUSP1","dual specificity phosphatase 1",2.70966655677761,9.66578454934967,15.4911217130386,6.5906192453955e-17,4.98529648843051e-14,28.4901310370905
"23074885","23074885",NA,NA,2.29022126248186,5.73335610666631,15.3656516704775,8.38997782432602e-17,5.68985151279379e-14,28.2542784922339
"23074891","23074891",NA,NA,2.29022126248186,5.73335610666631,15.3656516704775,8.38997782432602e-17,5.68985151279379e-14,28.2542784922339
"23074922","23074922",NA,NA,2.29022126248186,5.73335610666631,15.3656516704775,8.38997782432602e-17,5.68985151279379e-14,28.2542784922339
"TC0X00006799.hg.1","TC0X00006799.hg.1","SAT1","spermidine/spermine N1-acetyltransferase 1",2.90004784828977,8.84573286545995,15.2701573151017,1.00921882972062e-16,6.61610224137181e-14,28.07369603592
"TC0800010607.hg.1","TC0800010607.hg.1","ASPH","aspartate beta-hydroxylase",2.51690106108139,9.26154293378086,15.1296427755105,1.32654621759984e-16,8.4158659553342e-14,27.8062720378433
"TC0300013855.hg.1","TC0300013855.hg.1","NFKBIZ","NFKB inhibitor zeta",1.69191333037959,9.13733334877912,14.9977965272185,1.71747409527456e-16,1.05486976993318e-13,27.5534803193419
"TC2000009874.hg.1","TC2000009874.hg.1","PSMF1","proteasome inhibitor subunit 1",-2.42077032800152,9.67510288878585,-14.9824727423638,1.77000571555372e-16,1.05486976993318e-13,27.5239817506215
"TC0X00010837.hg.1","TC0X00010837.hg.1","MBNL3","muscleblind like splicing regulator 3",-2.87063542492613,9.25261464674483,-14.9464139841753,1.9002183795651e-16,1.09916455502667e-13,27.4544706555976
"23071999","23071999",NA,NA,2.65591976949078,8.15184697527467,14.8839910192865,2.14933476544992e-16,1.20774190948867e-13,27.3338130353295
"23072327","23072327",NA,NA,2.58836425244575,7.7054984573971,14.731053629447,2.91131731938516e-16,1.46812506975251e-13,27.0364544948204
"23072365","23072365",NA,NA,2.58836425244575,7.7054984573971,14.731053629447,2.91131731938516e-16,1.46812506975251e-13,27.0364544948204
"23072397","23072397",NA,NA,2.58836425244575,7.7054984573971,14.731053629447,2.91131731938516e-16,1.46812506975251e-13,27.0364544948204
"23072423","23072423",NA,NA,2.58836425244575,7.7054984573971,14.731053629447,2.91131731938516e-16,1.46812506975251e-13,27.0364544948204
"TC0900011177.hg.1","TC0900011177.hg.1","TXN","thioredoxin",3.44229727826462,7.23220254321497,14.5540884781814,4.1480845297537e-16,2.03950946116665e-13,26.6892560050605
"23071886","23071886",NA,NA,2.62718376274982,8.15967083771951,14.541419308069,4.25508243772831e-16,2.04109039762933e-13,26.6642700663612
"TC0100015975.hg.1","TC0100015975.hg.1","RIT1","Ras like without CAAX 1",2.30900090920987,7.36263071990292,14.5293017403243,4.36006954211186e-16,2.04165446868366e-13,26.6403557176487
"23072378","23072378",NA,NA,2.7231524334884,7.65895292456859,14.4351023936235,5.27234153147915e-16,2.3818165008338e-13,26.4539066766248
"TC1500009514.hg.1","TC1500009514.hg.1","RFX7","regulatory factor X7",-1.83699159973562,6.4974902731666,-14.4298418816671,5.32871948119627e-16,2.3818165008338e-13,26.443466031637
"23072408","23072408",NA,NA,2.5661119805886,7.62122824909644,14.3548027877004,6.20368471628244e-16,2.71128594033615e-13,26.2942048699075
"23076028","23076028",NA,NA,-1.20700056260482,7.1723076497346,-14.2744037104604,7.30587116151734e-16,3.1235775681209e-13,26.133596056466
"TC1100013015.hg.1","TC1100013015.hg.1","MS4A14","membrane spanning 4-domains A14",-2.16551187729645,6.22214466989854,-14.2553633402172,7.59511270228056e-16,3.17815067054791e-13,26.0954557951612
"TC1900006588.hg.1","TC1900006588.hg.1","GADD45B","growth arrest and DNA damage inducible beta",1.74645233640673,7.93610207860526,14.1655484480275,9.12630552276535e-16,3.73931355658804e-13,25.9150039857964
"TC1900007096.hg.1","TC1900007096.hg.1","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit",2.13294486528823,7.64408463034875,14.1215993122863,9.98751415524393e-16,4.00866205900372e-13,25.8263768620561
"23072537","23072537",NA,NA,2.68193654307415,7.66731675920788,14.0406052962332,1.17994074311657e-15,4.64117891897473e-13,25.6624806225052
"TC0700011944.hg.1","TC0700011944.hg.1","ZNF394","zinc finger protein 394",1.53611099633505,6.7783822802391,14.0001673730789,1.28268780528112e-15,4.88086050505934e-13,25.5803768622138
"TC0100011269.hg.1","TC0100011269.hg.1","LINC00260","long intergenic non-protein coding RNA 260",-1.78154194766791,5.99550949393667,-13.9972257814244,1.29051073505408e-15,4.88086050505934e-13,25.5743971844422
"TC1200012270.hg.1","TC1200012270.hg.1","RILPL2","Rab interacting lysosomal protein like 2",1.61786886195579,7.54701510495497,13.976606112324,1.34673755924765e-15,4.99741275051389e-13,25.532454104288
"TC0800008943.hg.1","TC0800008943.hg.1",NA,NA,-2.61692353327857,6.16565507060658,-13.9355915162662,1.4661618729239e-15,5.33981584348045e-13,25.4488826052177
"TC0X00009256.hg.1","TC0X00009256.hg.1","KLHL15","kelch like family member 15",1.74206742920821,7.02906561503844,13.8987442940926,1.58269706866623e-15,5.65943695444705e-13,25.3736404814515
"TC1200010866.hg.1","TC1200010866.hg.1","CD63","CD63 molecule",2.10611222895918,7.95871790153384,13.8594858858531,1.71734003231433e-15,6.03123685991534e-13,25.2933054683306
"TC0200012854.hg.1","TC0200012854.hg.1","RAB1A","RAB1A, member RAS oncogene family",1.41265915251772,9.46049426884648,13.817319094122,1.87508627434475e-15,6.46970557149793e-13,25.2068239858861
"TC0100015265.hg.1","TC0100015265.hg.1","DENND2D","DENN domain containing 2D",-2.33357263245146,6.94640064045311,-13.8011611750073,1.93940096936037e-15,6.57624118351903e-13,25.1736314505671
"TC1300009330.hg.1","TC1300009330.hg.1","RBM26","RNA binding motif protein 26",-1.64934260269359,6.89599097088468,-13.6986823601922,2.4034948701688e-15,8.01178535789996e-13,24.9624189933884
"TC0Y00006642.hg.1","TC0Y00006642.hg.1","TMSB4Y","thymosin beta 4 Y-linked",1.69540624462399,8.52930571159641,13.6513155165708,2.65507161424254e-15,8.70288223955135e-13,24.8643872834143
"TC1600006888.hg.1","TC1600006888.hg.1","CIITA","class II major histocompatibility complex transactivator",-1.91087640281881,7.34245091477507,-13.6258060034173,2.80158119908719e-15,8.89877974589869e-13,24.8114850892469
"TC0500008684.hg.1","TC0500008684.hg.1","TCF7","transcription factor 7",-2.37327852097889,7.45875986469406,-13.6185988423966,2.84445654628781e-15,8.89877974589869e-13,24.7965251218974
"TC0900009882.hg.1","TC0900009882.hg.1","DCAF12","DDB1 and CUL4 associated factor 12",-3.14256263039196,9.30524329933949,-13.6175789841138,2.85057773931773e-15,8.89877974589869e-13,24.7944077089249
"TC0100014349.hg.1","TC0100014349.hg.1","JUN","Jun proto-oncogene, AP-1 transcription factor subunit",2.8641493671589,5.0233193144767,13.5432650253243,3.33497626355042e-15,1.02296963557686e-12,24.6397946352262
"TC0500013238.hg.1","TC0500013238.hg.1","ZMAT2","zinc finger matrin-type 2",1.66026914978882,6.36364939950686,13.5367964920518,3.38094403378734e-15,1.02296963557686e-12,24.6263063367052
"TC1000006652.hg.1","TC1000006652.hg.1","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",2.2322377709641,7.1871834994371,13.4667745181344,3.92213499687226e-15,1.1687368027801e-12,24.4799840626592
"TC1100011602.hg.1","TC1100011602.hg.1","UCP2","uncoupling protein 2",-1.90594230959136,8.79234014552439,-13.4565793078462,4.00803012567741e-15,1.17650639524922e-12,24.4586319035924
"TSUnmapped00000054.hg.1","TSUnmapped00000054.hg.1",NA,NA,-2.37469962727411,4.52176374585309,-13.349555358412,5.03495909838705e-15,1.39440057583539e-12,24.2337548300784
"TSUnmapped00000177.hg.1","TSUnmapped00000177.hg.1",NA,NA,-2.37469962727411,4.52176374585309,-13.349555358412,5.03495909838705e-15,1.39440057583539e-12,24.2337548300784
"TC0800011334.hg.1","TC0800011334.hg.1","KLF10","KLF transcription factor 10",2.44983750366844,7.92993047427801,13.3451811295883,5.08225640057982e-15,1.39440057583539e-12,24.2245352081663
"TC1700007944.hg.1","TC1700007944.hg.1","TMEM106A","transmembrane protein 106A",-1.64926066223241,6.51711987533934,-13.3446331953632,5.08821304677513e-15,1.39440057583539e-12,24.2233801612516
"TC2200008859.hg.1","TC2200008859.hg.1","NDUFA6","NADH:ubiquinone oxidoreductase subunit A6",2.39027995507043,5.88686602383587,13.3431074188499,5.1048376193699e-15,1.39440057583539e-12,24.2201636340771
"HTA2-pos-PSR15011022.hg.1","HTA2-pos-PSR15011022.hg.1",NA,NA,2.21363874720617,7.805324805788,13.2970210627192,5.63410325285864e-15,1.51788915991741e-12,24.1228787790463
"TC0100013348.hg.1","TC0100013348.hg.1","SYF2","SYF2 pre-mRNA splicing factor",2.01673671692369,6.23893329380257,13.24710920839,6.27104064839705e-15,1.66665616800034e-12,24.0172361570618
"TC1900008881.hg.1","TC1900008881.hg.1","FCAR","Fc alpha receptor",2.76339846618763,7.61903256823354,13.1904637978989,7.08395743805683e-15,1.85760254579018e-12,23.8969844564629
"TC0100016360.hg.1","TC0100016360.hg.1",NA,NA,-2.58032288914262,6.07875488300289,-13.1555587237014,7.63788565444373e-15,1.97650391007822e-12,23.8226954523413
"TC0900007977.hg.1","TC0900007977.hg.1","CARD19","caspase recruitment domain family member 19",1.5844140826992,6.76725664327478,13.1435246873231,7.83898366914842e-15,1.97840826869079e-12,23.7970496508961
"TC0100010032.hg.1","TC0100010032.hg.1","S100A9","S100 calcium binding protein A9",2.62238282344856,10.4530836852509,13.143084859973,7.84643539725844e-15,1.97840826869079e-12,23.7961120059483
"TC1200012571.hg.1","TC1200012571.hg.1","ITFG2","integrin alpha FG-GAP repeat containing 2",-1.52256516711885,7.55913913137728,-13.0785215238256,9.0229374940535e-15,2.24625457842469e-12,23.6582226783127
"TC0700013605.hg.1","TC0700013605.hg.1","PNPLA8","patatin like phospholipase domain containing 8",2.28627693265998,6.4520429252993,12.9706385018732,1.14075159631634e-14,2.80439520559418e-12,23.4267017740636
"TC1100009200.hg.1","TC1100009200.hg.1","CD3E","CD3 epsilon subunit of T-cell receptor complex",-2.3857958410826,9.39294073005552,-12.888302722979,1.36553797735439e-14,3.31555992600356e-12,23.2490644505244
"TC2200007138.hg.1","TC2200007138.hg.1","FBXO7","F-box protein 7",-2.50837843268629,9.94411584070993,-12.8691039109087,1.42418434604329e-14,3.41578457727236e-12,23.2075257916858
"TC0900011613.hg.1","TC0900011613.hg.1","EEIG1","estrogen-induced osteoclastogenesis regulator 1",-1.93940849591417,6.48500755012725,-12.8110729949703,1.61762669740855e-14,3.83299569372698e-12,23.0816982565635
"TC1000010870.hg.1","TC1000010870.hg.1",NA,NA,3.43908180558694,7.19836695667666,12.7614685611514,1.804230268335e-14,4.22426151039814e-12,22.9738174415159
"TC1200010850.hg.1","TC1200010850.hg.1","TESPA1","thymocyte expressed, positive selection associated 1",-2.66475997003707,7.2712871824421,-12.7532624642022,1.83716223805909e-14,4.25076114540095e-12,22.9559417604308
"TC1200012648.hg.1","TC1200012648.hg.1","MYL6","myosin light chain 6",2.69254534592403,7.85071701208229,12.7214932395873,1.97056808716208e-14,4.50641425235078e-12,22.8866600891027
"TC1700009137.hg.1","TC1700009137.hg.1","RPTOR","regulatory associated protein of MTOR complex 1",-1.57452564627469,5.71751339321291,-12.6558947921344,2.27831562291806e-14,5.1503026845896e-12,22.7432139965579
"TC0700009604.hg.1","TC0700009604.hg.1","ZNF398","zinc finger protein 398",-1.83057509948237,5.33661467514854,-12.6230920854707,2.45024664625695e-14,5.4760228172654e-12,22.6712855624977
"TC0X00008794.hg.1","TC0X00008794.hg.1","SLC6A8","solute carrier family 6 member 8",-3.07385020851512,8.68484973878892,-12.5655025389317,2.78491731716832e-14,6.15404144682577e-12,22.5446856342836
"TC0200008536.hg.1","TC0200008536.hg.1",NA,NA,-2.45309596194278,5.79809984144031,-12.5399754131419,2.94789794152098e-14,6.42415031038401e-12,22.4884382985231
"TC0300011124.hg.1","TC0300011124.hg.1","CISH","cytokine inducible SH2 containing protein",-2.0731362377243,6.3458719155552,-12.5362509979087,2.97248018632707e-14,6.42415031038401e-12,22.4802250738622
"TC0X00007704.hg.1","TC0X00007704.hg.1","COX7B","cytochrome c oxidase subunit 7B",2.54798346174982,5.63532995909562,12.4811779481225,3.36148486556119e-14,7.18590465771651e-12,22.3585757431319
"TC1400007706.hg.1","TC1400007706.hg.1","FOS","Fos proto-oncogene, AP-1 transcription factor subunit",1.96746909722404,7.3668427365746,12.4724608506476,3.42767425546638e-14,7.21950546321753e-12,22.339286381117
"TC1200012583.hg.1","TC1200012583.hg.1","CD27","CD27 molecule",-1.99818781917355,6.77838994821805,-12.4694790210476,3.45062039732774e-14,7.21950546321753e-12,22.332685969618
"HTA2-pos-3371021_st","HTA2-pos-3371021_st",NA,NA,-1.39699240996913,7.80181601809286,-12.4630176230538,3.50088394422674e-14,7.24756679274814e-12,22.3183795982585
"TC0200010448.hg.1","TC0200010448.hg.1","STRADB","STE20 related adaptor beta",-3.36287992659484,9.31057532925229,-12.445296315115,3.64262034129303e-14,7.46243898460521e-12,22.2791157556908
"TC1500010778.hg.1","TC1500010778.hg.1","IL16","interleukin 16",-1.4942228520985,7.82846910818009,-12.4293663712591,3.77503933180767e-14,7.6539895400682e-12,22.2437876460917
"TC2000009971.hg.1","TC2000009971.hg.1","SIRPG","signal regulatory protein gamma",-2.24902923878345,5.92289072364037,-12.3929594325901,4.09648998955102e-14,8.18022201718839e-12,22.1629289585475
"HTA2-pos-PSR15011021.hg.1","HTA2-pos-PSR15011021.hg.1",NA,NA,2.24391408150269,7.58706608686919,12.3906533980808,4.11777078202904e-14,8.18022201718839e-12,22.1578017743017
"TC1100012225.hg.1","TC1100012225.hg.1","NPAT","nuclear protein, coactivator of histone transcription",-1.85372801492141,5.72698671816125,-12.3776597064707,4.23981342718369e-14,8.33844106724217e-12,22.1288995212468
"TC1400008193.hg.1","TC1400008193.hg.1","EVL","Enah/Vasp-like",-1.76427017193196,7.93215520407818,-12.3661144534718,4.35135600849998e-14,8.47308105140289e-12,22.1032014258017
"TSUnmapped00000341.hg.1","TSUnmapped00000341.hg.1",NA,NA,-2.02101149807332,4.43959878624264,-12.3611140726605,4.40059414693067e-14,8.48494951840054e-12,22.092066131087
"TC0100008105.hg.1","TC0100008105.hg.1","PLK3","polo like kinase 3",1.9192057058866,5.91831841914441,12.3531916952422,4.47977513549624e-14,8.55376093104899e-12,22.0744174897281
"23066376","23066376",NA,NA,-1.70395419553489,4.32609379427396,-12.3366529969713,4.6498057840101e-14,8.7930509955891e-12,22.037549074082
"TC0500011157.hg.1","TC0500011157.hg.1","GCNT4","glucosaminyl (N-acetyl) transferase 4",-2.13005193182097,4.44203396931154,-12.3019004282288,5.02894179488251e-14,9.41944745523375e-12,21.9599665893628
"TC1000011904.hg.1","TC1000011904.hg.1","ABLIM1","actin binding LIM protein 1",-1.93745277641721,8.45423402716376,-12.2466312513279,5.6982802151042e-14,1.05724600934391e-11,21.8362709879439
"TC1000009536.hg.1","TC1000009536.hg.1","IDI1","isopentenyl-diphosphate delta isomerase 1",2.35384724289728,6.63288999110186,12.2153514411634,6.11683233413933e-14,1.12429664967774e-11,21.7660951931238
"TC1700011033.hg.1","TC1700011033.hg.1","PHOSPHO1","phosphoethanolamine/phosphocholine phosphatase 1",-2.68767178988364,8.51806881198887,-12.1996015532227,6.33935981367044e-14,1.15247294217577e-11,21.7307140134427
"TC2000009504.hg.1","TC2000009504.hg.1","ZNF217","zinc finger protein 217",-1.59540948657356,8.80212529090559,-12.196280762966,6.3873265214399e-14,1.15247294217577e-11,21.7232500746404
"TC0700012836.hg.1","TC0700012836.hg.1","DENND11","DENN domain containing 11",-1.43358925311774,5.87395932930374,-12.168587152449,6.80209137821261e-14,1.21494971834939e-11,21.660950770212
"TC1200012758.hg.1","TC1200012758.hg.1","TAS2R14","taste 2 receptor member 14",-2.353750497543,4.59911748979818,-12.1650419275232,6.85714235708459e-14,1.21494971834939e-11,21.6529684887869
"TC0700006928.hg.1","TC0700006928.hg.1","CCDC126","coiled-coil domain containing 126",1.95267931536094,6.98698944890867,12.1597081826395,6.94082606300283e-14,1.21879666233104e-11,21.640956265695
"TC1700011060.hg.1","TC1700011060.hg.1","FAM117A","family with sequence similarity 117 member A",-1.85061997705821,6.5662623346333,-12.1488729909171,7.11405708943742e-14,1.23816071484925e-11,21.6165430911756
"TC1300008998.hg.1","TC1300008998.hg.1",NA,NA,-1.88668373222803,7.32796698272922,-12.1109469202844,7.75603996869643e-14,1.33805296547678e-11,21.5309737601494
"TC1200009876.hg.1","TC1200009876.hg.1","CD69","CD69 molecule",2.19274732568422,6.10437751431205,12.0991284917067,7.96797756082802e-14,1.36266273642439e-11,21.5042717221383
"TC1000008351.hg.1","TC1000008351.hg.1","MINPP1","multiple inositol-polyphosphate phosphatase 1",-1.87572110091468,4.94433770295822,-12.0916976798396,8.10425799286506e-14,1.36548438092019e-11,21.4874738286748
"23075403","23075403",NA,NA,-1.73903703548528,4.91208673568867,-12.0906675831437,8.12333719264057e-14,1.36548438092019e-11,21.4851446685388
"TC0200007999.hg.1","TC0200007999.hg.1",NA,NA,-2.15720543896322,5.24255750429751,-12.0433825012736,9.05048741539738e-14,1.49943543669152e-11,21.3780833436379
"TC1900008496.hg.1","TC1900008496.hg.1","PPP1R15A","protein phosphatase 1 regulatory subunit 15A",2.07571850437856,7.314780636219,12.0423113378833,9.07270132538213e-14,1.49943543669152e-11,21.3756547687172
"TC0200010502.hg.1","TC0200010502.hg.1","FAM117B","family with sequence similarity 117 member B",-2.27780770256771,7.59352825914635,-12.0145139512377,9.66909639493236e-14,1.58468432332612e-11,21.312580756776
"TC0400012811.hg.1","TC0400012811.hg.1","DCK","deoxycytidine kinase",-1.41022788861778,6.71475382040777,-11.9917797020005,1.01865977177909e-13,1.65570096955201e-11,21.2609223707743
"TC1700007097.hg.1","TC1700007097.hg.1","GID4","GID complex subunit 4 homolog",-1.64327758729724,5.4225516708071,-11.9693299501922,1.07254549252106e-13,1.72899608208292e-11,21.2098459471994
"TC0200015425.hg.1","TC0200015425.hg.1","TRAK2","trafficking kinesin protein 2",-1.60888054741614,6.91146574593981,-11.9513033226881,1.11792022489226e-13,1.78749081812651e-11,21.1687863294374
"TC0100007283.hg.1","TC0100007283.hg.1","ZBTB40","zinc finger and BTB domain containing 40",-1.49617946405457,5.72660392809298,-11.9435577197632,1.13801535925249e-13,1.80494742503376e-11,21.1511312959483
"TC0200009189.hg.1","TC0200009189.hg.1","GYPC","glycophorin C (Gerbich blood group)",-2.68267358822618,8.81065831721644,-11.9264336663596,1.18376383981259e-13,1.86248667500753e-11,21.1120722319315
"TC0X00011139.hg.1","TC0X00011139.hg.1","CETN2","centrin 2",1.99788178580734,5.92084013762944,11.9176257518686,1.20802341702626e-13,1.885571154179e-11,21.0919672753649
"TC1300006729.hg.1","TC1300006729.hg.1","POMP","proteasome maturation protein",2.25542903565185,5.72311094448019,11.9067039348831,1.23881311751899e-13,1.91840453403512e-11,21.0670233706881
"TC0300009661.hg.1","TC0300009661.hg.1","B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",2.51778838975255,6.76787674661678,11.8779715638647,1.32370423847149e-13,2.02220102210447e-11,21.0013298794012
"TC1600009916.hg.1","TC1600009916.hg.1","NPIPB11","nuclear pore complex interacting protein family member B11",-1.74957346639618,8.68507908870383,-11.8770889181703,1.32640429069749e-13,2.02220102210447e-11,20.9993101338985
"TC1800007905.hg.1","TC1800007905.hg.1","LPIN2","lipin 2",-1.66362698670694,7.81094825454635,-11.8669856362072,1.35771498728754e-13,2.04067308981119e-11,20.9761838402364
"23075975","23075975",NA,NA,-1.26381704356106,7.22972605828683,-11.8664892172615,1.35927276536974e-13,2.04067308981119e-11,20.975047206536
"TC0500012179.hg.1","TC0500012179.hg.1","ETF1","eukaryotic translation termination factor 1",2.35454041978757,6.21625734356714,11.8612314812506,1.3758843578086e-13,2.04996345947134e-11,20.9630068102629
"TC0100016138.hg.1","TC0100016138.hg.1","SLAMF1","signaling lymphocytic activation molecule family member 1",-1.59936710245696,5.64702994360031,-11.8426442966726,1.43629289541108e-13,2.12387762210899e-11,20.9204131507614
"HTA2-pos-PSR06035598.hg.1","HTA2-pos-PSR06035598.hg.1",NA,NA,-1.23885040040833,8.21298938451015,-11.7882044464559,1.62931382603756e-13,2.3913220161702e-11,20.7954061596614
"TC1500010743.hg.1","TC1500010743.hg.1","MAPK6","mitogen-activated protein kinase 6",1.53669939721973,6.13574677531209,11.7830481369868,1.64892044289872e-13,2.40217172966586e-11,20.7835463151312
"TC0700012293.hg.1","TC0700012293.hg.1","TMEM168","transmembrane protein 168",-1.52619252587945,4.87466031834539,-11.7714441430776,1.69393151866149e-13,2.4495993512879e-11,20.7568438870249
"TC1200012646.hg.1","TC1200012646.hg.1","ESYT1","extended synaptotagmin 1",-1.65361008641401,6.69737890265515,-11.7631323623538,1.72694315520966e-13,2.47068729426113e-11,20.7377066684835
"TC0100017072.hg.1","TC0100017072.hg.1","ELK4","ETS transcription factor ELK4",-1.67065281001295,9.59330914912044,-11.761466211545,1.73363932784886e-13,2.47068729426113e-11,20.7338694191526
"TC1300009765.hg.1","TC1300009765.hg.1","IRS2","insulin receptor substrate 2",2.44792966024874,6.38836924324538,11.7540137379309,1.76391700255314e-13,2.49575220785702e-11,20.716701537452
"TC1600011465.hg.1","TC1600011465.hg.1","ERVK13-1","endogenous retrovirus group K13 member 1",-2.06279228672278,5.41182181693391,-11.7444258255688,1.80366762309048e-13,2.53376651023718e-11,20.6946038461118
"TC1600010651.hg.1","TC1600010651.hg.1","RANBP10","RAN binding protein 10",-2.02061098011492,7.13642168001511,-11.7278334944193,1.87463598167268e-13,2.61478481216714e-11,20.6563348020288
"TC0400011383.hg.1","TC0400011383.hg.1","TSPAN5","tetraspanin 5",-2.33383352414446,7.62694264453979,-11.7042346318501,1.98052446443222e-13,2.74302638323863e-11,20.6018446017338
"TC0600011173.hg.1","TC0600011173.hg.1","GUSBP2","GUSB pseudogene 2",-1.62958704582141,9.13115511924988,-11.6853000665076,2.0698955349622e-13,2.84675772630081e-11,20.5580724334645
"TC0300013380.hg.1","TC0300013380.hg.1","ALG3","ALG3 alpha-1,3- mannosyltransferase",-1.52508044827458,7.42663853709479,-11.6812969009165,2.08931271129198e-13,2.85350785367913e-11,20.5488121525759
"TC1900008166.hg.1","TC1900008166.hg.1","CD79A","CD79a molecule",-1.98776703949596,8.97781660188482,-11.6643115288913,2.17379390637522e-13,2.94841412115045e-11,20.5094979077587
"HTA2-pos-PSR06017412.hg.1","HTA2-pos-PSR06017412.hg.1",NA,NA,-1.30602250637437,8.300401871933,-11.6359763935654,2.32258072624096e-13,2.9736326631026e-11,20.4438306155381
